time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-02T12:30:49.624Z,38.4975,-118.2635,8.5,0.3,ml,5,150.14,0.085,0.0924,nn,nn00607859,2017-10-02T16:23:20.473Z,"31km E of Hawthorne, Nevada",earthquake,,5.3,0.37,3,reviewed,nn,nn
2017-10-02T12:25:30.357Z,63.1205,-151.1189,16.2,1.5,ml,,,,0.8,ak,ak16987046,2017-10-02T12:32:41.626Z,"102km NNW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-10-02T12:16:32.080Z,36.3171654,-120.8834991,6.77,1.4,md,8,188,0.121,0.05,nc,nc72903071,2017-10-02T12:48:03.641Z,"24km ENE of King City, California",earthquake,0.71,1.74,0.47,5,automatic,nc,nc
2017-10-02T12:08:34.440Z,13.209,-61.2682,136.91,4.3,mb,,84,1.134,0.52,us,us2000axs4,2017-10-02T12:34:09.040Z,"6km NNW of Kingstown Park, Saint Vincent and the Grenadines",earthquake,8.3,6.1,0.137,15,reviewed,us,us
2017-10-02T11:50:01.990Z,-37.3176,176.4854,354.86,4.3,mb,,96,0.884,0.67,us,us2000axsa,2017-10-02T12:25:35.040Z,"49km NE of Tauranga, New Zealand",earthquake,14.1,9.5,0.119,20,reviewed,us,us
2017-10-02T11:29:56.070Z,42.5716667,-111.2186667,3.5,1.6,ml,14,78,0.1458,0.16,uu,uu60250897,2017-10-02T18:18:21.620Z,"28km NNE of Montpelier, Idaho",earthquake,0.43,2.41,0.115,4,reviewed,uu,uu
2017-10-02T11:20:25.411Z,63.0196,-149.912,66,1.3,ml,,,,0.36,ak,ak16986042,2017-10-02T11:23:09.029Z,"63km SW of Cantwell, Alaska",earthquake,,1.3,,,automatic,ak,ak
2017-10-02T11:04:47.920Z,37.5304985,-118.8808365,3.04,1.02,md,10,195,0.07226,0.05,nc,nc72903066,2017-10-02T12:21:04.586Z,"15km SSE of Mammoth Lakes, California",earthquake,0.54,1.63,0.18,10,automatic,nc,nc
2017-10-02T10:49:26.267Z,63.3321,-145.3257,6.7,1.4,ml,,,,0.77,ak,ak16986039,2017-10-02T10:55:07.575Z,"60km S of Deltana, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-10-02T10:41:40.770Z,34.2925,-118.501,9.14,1.49,ml,34,40,0.01666,0.23,ci,ci38016776,2017-10-02T10:52:20.660Z,"2km N of Granada Hills, CA",earthquake,0.4,0.63,0.148,28,automatic,ci,ci
2017-10-02T10:40:25.170Z,19.9190006,-155.5240021,20.11,2.13,md,37,149,0.14,0.17,hv,hv61929926,2017-10-02T10:44:08.720Z,"18km SSW of Honoka'a, Hawaii",earthquake,0.54,1.24,0.15,7,automatic,hv,hv
2017-10-02T10:22:16.050Z,12.3486,-88.2184,35.55,4.9,mb,,113,1.192,1.48,us,us2000axrm,2017-10-02T10:53:15.040Z,"94km WSW of Jiquilillo, Nicaragua",earthquake,6.3,8.4,0.033,424,reviewed,us,us
2017-10-02T10:05:46.370Z,34.2083333,-117.0671667,2.04,1.12,ml,35,50,0.1048,0.15,ci,ci38016768,2017-10-02T12:22:16.618Z,"4km E of Running Springs, CA",earthquake,0.2,0.45,0.186,28,reviewed,ci,ci
2017-10-02T10:01:42.900Z,34.2078333,-117.0648333,2.06,1.75,ml,68,49,0.1048,0.17,ci,ci38016760,2017-10-02T12:23:15.110Z,"4km E of Running Springs, CA",earthquake,0.2,0.56,0.131,24,reviewed,ci,ci
2017-10-02T10:00:25.820Z,36.3650017,-120.9104996,8.55,2.12,md,17,162,0.106,0.07,nc,nc72903041,2017-10-02T10:20:03.335Z,"25km NE of King City, California",earthquake,0.4,1.04,0.23,16,automatic,nc,nc
2017-10-02T09:58:23.105Z,63.1057,-152.1495,3.5,1.7,ml,,,,0.37,ak,ak16985035,2017-10-02T10:04:48.657Z,"135km NW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-10-02T09:53:44.070Z,33.481,-116.4488333,8.33,1.08,ml,39,82,0.0465,0.21,ci,ci38016752,2017-10-02T12:22:39.285Z,"22km ESE of Anza, CA",earthquake,0.25,0.63,0.178,26,reviewed,ci,ci
2017-10-02T09:40:59.442Z,64.6842,-146.8806,6.7,1.1,ml,,,,0.59,ak,ak16985032,2017-10-02T09:48:56.275Z,"8km ENE of Eielson Air Force Base, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-10-02T09:34:55.370Z,33.5348333,-116.9548333,10.63,0.69,ml,9,162,0.1006,0.26,ci,ci38016744,2017-10-02T09:38:44.548Z,"13km NW of Aguanga, CA",earthquake,0.91,2.68,0.278,8,automatic,ci,ci
2017-10-02T09:31:47.930Z,35.88,-90.1365,10.55,1.71,md,11,81,0.04321,0.06,nm,nm60207636,2017-10-02T12:35:10.690Z,"2km E of Manila, Arkansas",earthquake,0.27,0.5,0.03,6,reviewed,nm,nm
2017-10-02T09:22:41.680Z,42.3848333,-111.4808333,5.67,1.5,ml,12,64,0.2015,0.12,uu,uu60250892,2017-10-02T18:24:02.850Z,"16km WNW of Montpelier, Idaho",earthquake,0.44,3.29,0.119,3,reviewed,uu,uu
2017-10-02T09:17:55.499Z,37.1076,-117.0582,7.5,0.3,ml,4,270.95,0.129,0.1101,nn,nn00607856,2017-10-02T16:07:09.452Z,"34km NW of Beatty, Nevada",earthquake,,4,0.47,4,reviewed,nn,nn
2017-10-02T09:10:03.480Z,38.8258324,-122.7965012,2.81,0.86,md,12,95,0.01088,0.02,nc,nc72903036,2017-10-02T09:39:04.231Z,"6km W of Cobb, California",earthquake,0.57,0.73,0.07,3,automatic,nc,nc
2017-10-02T09:05:04.740Z,34.4551667,-117.9338333,9.48,0.88,ml,14,66,0.01888,0.15,ci,ci38016736,2017-10-02T09:08:47.537Z,"6km SSW of Pearblossum, CA",earthquake,0.36,0.7,0.2,23,automatic,ci,ci
2017-10-02T09:00:28.790Z,34.2075,-117.0636667,1.52,1.03,ml,27,50,0.1048,0.16,ci,ci38016728,2017-10-02T09:04:14.932Z,"4km E of Running Springs, CA",earthquake,0.24,0.39,0.176,29,automatic,ci,ci
